date,client,origins,origins_with_good_inp,origins_with_good_cls,origins_with_good_ttfb,origins_with_good_fcp,origins_with_good_lcp,origins_with_any_inp,origins_with_any_cls,origins_with_any_ttfb,origins_with_any_fcp,origins_with_any_lcp,origins_with_good_cwv,origins_eligible_for_cwv,pct_good_ttfb,pct_good_fcp,pct_good_lcp,pct_good_cls,pct_good_inp,pct_eligible_origins_with_good_cwv
2024-06-01,desktop,7216817,5045023,3303113,1825482,2517830,2695332,5842478,7186730,7021660,7216817,6978076,1470683,6971881,0.25997869449674293,0.34888372533209583,0.38625718607822557,0.4596127863437196,0.863507402167368,0.21094493724147043
2024-03-01,desktop,7550724,5212920,3439167,1933592,2389666,2642462,6128725,7519290,7372976,7550724,7307917,1439105,7301344,0.2622539392505821,0.31648170427100764,0.36158894524937818,0.45737922064450232,0.85057169313356362,0.19710138297825716
2024-06-01,mobile,17550222,3182664,6430983,1776892,2294946,2887778,8346080,11131533,10644873,11219631,10838260,1499309,10802930,0.16692467819954263,0.20454736880384033,0.26644295302013421,0.57772662579359013,0.38133638786112761,0.13263886136409112
2024-03-01,mobile,17684179,2762074,6353281,1849656,2221981,2806932,8390686,11145597,10692326,11231373,10859885,1368984,10826134,0.17298911387475466,0.19783698751702039,0.25846793036942839,0.57002608294557933,0.32918333495020552,0.12035198302719161
2024-02-01,desktop,7582949,5190705,3458638,1920985,2351476,2595818,6159466,7551855,7402746,7582949,7345225,1423653,7338648,0.25949627340989412,0.31010046355316384,0.35340210817231604,0.4579852234980677,0.84271996955580242,0.19399390732461891
2024-05-01,desktop,7414774,5120828,3382145,1872537,2386055,2618096,6000116,7383397,7242254,7414774,7168054,1424428,7161496,0.2585572116084302,0.32179740070297491,0.36524501629033485,0.45807437958435665,0.853454833206558,0.19890090003541158
2024-04-01,desktop,7521693,5200815,3438856,1930016,2378178,2636408,6096771,7490868,7348378,7521693,7277012,1441887,7270274,0.26264517149226674,0.31617589284752778,0.36229265528214055,0.45907310074079533,0.85304417699139434,0.19832636294037886
2024-01-01,mobile,17608211,2630326,6379769,1913560,2266296,2803785,8478610,11325194,10860991,11410444,11041708,1324073,11008175,0.17618650084508863,0.19861593466476851,0.25392674756477895,0.56332536113730147,0.31023080434174943,0.11406830175164574
2024-05-01,mobile,17729471,3031415,6420265,1796548,2139783,2743646,8409052,11202836,10725682,11290942,10908351,1399974,10873137,0.16749965177039558,0.18951323990504956,0.251517942537786,0.57309283113668719,0.36049426261129081,0.1229631442969074
2024-02-01,mobile,17772904,2591319,6311483,1854637,2182172,2729704,8428004,11214265,10779924,11301089,10927616,1293658,10893768,0.17204546154499792,0.19309395758231795,0.24979867520967061,0.56280844085635573,0.30746532630976442,0.11286548286919877
2024-04-01,mobile,17718149,2923169,6415912,1835837,2230126,2817353,8383618,11157601,10695393,11243598,10868031,1415959,10833419,0.17164745605888443,0.19834629448687155,0.25923306622883208,0.575026118965896,0.34867631134910965,0.12458362770966058
2024-01-01,desktop,7588251,5202216,3458703,1887648,2424791,2653600,6160977,7557806,7226623,7588251,7355277,1449244,7348750,0.26120748238838526,0.31954543939044716,0.36077499188677736,0.45763320730910534,0.84438166219416178,0.19720959346827691
