origin,pct_not_fast_lcp,name
https://foxx.house.gov,0.035200000000000044,desktop
https://judiciary.house.gov,0.034100000000000116,desktop
https://fragis.fra.dot.gov,0.25990000000000041,desktop
https://voices.nmfs.noaa.gov,0.026599999999999985,phone
https://www.mcsf-nola.marines.mil,0.024000000000000018,desktop
https://www.kyeb.uscourts.gov,0.030799999999999921,desktop
https://cfccharities.opm.gov,0.36719999999999892,desktop
https://id-provider.tco.census.gov,0.0056000000000000034,phone
https://www.nww.usace.army.mil,0.11150000000000081,phone
https://datainventory.ed.gov,0.18259999999999926,desktop
https://www.defenseculture.mil,0.06659999999999977,phone
https://spec.jpl.nasa.gov,0.021199999999999969,desktop
https://stateoftheocean.osmc.noaa.gov,0.33769999999999795,
https://www.help.senate.gov,0.043799999999999721,phone
https://my.nfipdirect.fema.gov,0.10290000000000056,phone
https://physicalscience.usajobs.gov,0.0021,phone
https://degette.house.gov,0.052000000000000005,phone
https://www.143aw.ang.af.mil,0.14629999999999951,
https://intelligence.house.gov,0.042899999999999883,phone
https://aefla.ed.gov,0.059600000000000174,
https://www.10thmarines.marines.mil,0.11229999999999987,phone
https://mooseframework.inl.gov,0.01119999999999997,phone
https://civiliancoastguardcareers.usajobs.gov,0.01500000000000001,desktop
https://apps.neh.gov,0.040300000000000079,phone
https://www.tobyhanna.army.mil,0.092199999999999865,phone
https://bassett-wainwright.tricare.mil,0.10219999999999942,phone
https://www.de.ng.mil,0.054299999999999932,desktop
https://vn.usembassy.gov,0.21390000000000045,phone
https://www.tnwb.uscourts.gov,0.0059,phone
https://my.ginniemae.gov,0.2480000000000023,desktop
https://offices.sc.egov.usda.gov,0.0001,tablet
https://livehelp.cancer.gov,0.0083000000000000365,desktop
https://help.waterdata.usgs.gov,0.043800000000000075,desktop
https://www.dasadec.army.mil,0.16700000000000031,phone
https://cuellar.house.gov,0.045100000000000119,phone
https://www.recalls.gov,0.0030999999999999921,desktop
https://www.utb.uscourts.gov,0.017499999999999936,phone
https://advocacy.sba.gov,0.038500000000000659,phone
https://www.jwst.nasa.gov,0.11509999999999986,phone
https://889.smartpay.gsa.gov,0.015299999999999994,desktop
https://gsafleet.gov,0.04310000000000009,phone
https://cosmicopia.gsfc.nasa.gov,0.027100000000000013,phone
https://www.creech.af.mil,0.10800000000000033,desktop
https://www.pope.af.mil,0.094400000000000275,phone
https://xyce.sandia.gov,0.41409999999999525,
https://apd440.gsfc.nasa.gov,0.26510000000000078,
https://1950census.archives.gov,0.044200000000000114,phone
https://www.geoplatform.gov,0.091100000000000417,phone
https://www.129rqw.ang.af.mil,0.11800000000000035,phone
